id,track,title,construct,tools,repo_input,novel_output,generalization,novelty,compute
A11,A. Generative small-molecule construction,Macrocyclization,Macrocyclize the flexible lead to rigidify the bound conformation,generative-chem+vina,lead bound pose in 8CAA,Macrocyclic analog with entropic gain,Any flexible lead,med,CPU
A12,A. Generative small-molecule construction,Prodrug / topical formulation analogs,Add cleavable promoieties for skin-localized delivery,generative-chem+chembl,lead logP 3.0-3.8; skin indication,Topical-optimized prodrug variants,Any localized-delivery disease,med,CPU
A13,A. Generative small-molecule construction,MMP matched-molecular-pair mining,Mine ChEMBL for activity-cliff transformations on the chemotype,chembl+analysis,TEAD4 45-compound potent set,Transformation rules that boost potency,Any target with ChEMBL SAR,med,connector
A14,A. Generative small-molecule construction,3D pharmacophore model,Build & export a pharmacophore hypothesis from active poses,vina+analysis,docked pose ensemble,Reusable pharmacophore for virtual screening,Any target with ≥3 actives,med,CPU
A15,A. Generative small-molecule construction,Free-energy triage (MM-GBSA-style rescoring),Rescore top docked poses with implicit-solvent energetics,openmm+vina,top docked complexes,Rescored ranking beyond Vina heuristic,Any docking campaign,med,CPU
A16,A. Generative small-molecule construction,Selectivity vs anti-target panel,Dock leads against off-targets to flag liabilities,structures+vina,lead set; hERG/CYP structures,Off-target risk profile per lead,Every candidate,med,CPU
A17,A. Generative small-molecule construction,Sketch-to-artifact medicinal chemistry,Open leads in Ketcher for interactive human-in-loop edits,ketcher,lead .mol/.ket,Chemist-editable live molecules,Any chemistry review,low,app
A18,A. Generative small-molecule construction,Enumerated combinatorial library,"R-group enumeration around the validated core, dock-filter",generative-chem+vina,core scaffold + R-group sets,Focused library w/ predicted actives,Any lead series,med,CPU
B01,B. Protein & biologic construction,De novo TEAD4 binder (mini-protein),"Design a small binder to the YAP-interface, validate by co-folding",proteinmpnn+boltz,8CAA YAP-binding domain surface,Novel mini-binder blocking YAP-TEAD,Any PPI interface target,high,GPU
B02,B. Protein & biologic construction,Pocket-aware sequence redesign,Redesign residues lining the palmitate pocket with ligand context,ligandmpnn,8CAA pocket + bound ligand,Engineered pocket variants (tool/assay reagents),Any liganded pocket,med,GPU
B03,B. Protein & biologic construction,YAP-TEAD stapled peptide,Design a helical peptide from the YAP interaction motif,structures+generative-chem,YAP-TEAD interface geometry,Stapled-peptide PPI inhibitor,Any α-helix-mediated PPI,high,GPU
B04,B. Protein & biologic construction,Dominant-negative TEAD4,Engineer a DNA-binding-dead TEAD4 to sequester co-activators,structures+esm2,TEAD4 domains; ESM mutational tolerance,DN construct hypothesis w/ tolerated mutations,Any TF node,med,GPU
B05,B. Protein & biologic construction,Decoy receptor for IL-17/DEFB4A,Design soluble decoy trapping the top inflammatory ligand,proteinmpnn+boltz,IL17/receptor structures,Engineered soluble decoy,Any secreted-ligand-driven disease,high,GPU
B06,B. Protein & biologic construction,Nanobody/VHH epitope design,Propose paratopes against a surface epitope of the lead antigen,chai1+proteinmpnn,antigen structure (PDB/AlphaFold),Candidate VHH sequences + predicted complex,Any antigen,high,GPU
B07,B. Protein & biologic construction,Soluble-expression variant panel,Redesign a target/reagent for E. coli-soluble expression,solublempnn,target backbone,Aggregation-reduced constructs for wet lab,Any protein reagent,med,GPU
B08,B. Protein & biologic construction,Synthetic transcriptional re-activator,Design a dCas9-VP64 / synthetic-TF payload to reactivate GATA program,genes-ontologies+regulation,silenced GATA3/FOXC1/IRX1 enhancers,"Re-activation construct spec (the de-repression axis, as a biologic)",Any silenced-program disease,high,connector
B09,B. Protein & biologic construction,Mutational-scan liability map,ESM-2 masked-LM scan of a target for destabilizing/functional residues,esm2,target UniProt seq,Per-residue tolerance heatmap,Any protein,med,GPU
B10,B. Protein & biologic construction,Antibody developability triage,Score candidate biologics for aggregation/immunogenicity motifs,esm2+analysis,candidate biologic seqs,Developability-filtered shortlist,Any biologic campaign,med,GPU
B11,B. Protein & biologic construction,AlphaFold-gap structure completion,Fold targets lacking crystal structures for downstream design,chai1+structures,prioritized targets w/o PDB,Predicted structures unlocking design,Any structure-less target,med,GPU
B12,B. Protein & biologic construction,Interface hotspot mapping,Computationally alanine-scan a PPI to find hotspots,openmm+structures,YAP-TEAD / cytokine-receptor complex,Hotspot residues to target with small molecules,Any PPI,med,CPU
C01,"C. Genetic, epigenetic & regulatory construction",CRISPRa guide design for silenced enhancers,Design gRNAs tiling the silenced GATA/FOX enhancers for reactivation,regulation+genes-ontologies,silenced-TF promoter/enhancer coords,gRNA panel (molecular de-repression tool),Any silenced-locus disease,high,connector
C02,"C. Genetic, epigenetic & regulatory construction",dCas9-TET1 demethylation targeting,Target the persistent-scar CpG islands for active demethylation,regulation,3991 persistent hyper-DMPs; CpG-island coords,Locus-specific demethylation construct spec,Any methylation-scar disease,high,connector
C03,"C. Genetic, epigenetic & regulatory construction",Evo2 enhancer-effect scoring,Score the silenced enhancers + variants with a DNA foundation model,evo2,silenced enhancer sequences (GRCh38),Per-nucleotide functional/disruption scores,Any regulatory-region hypothesis,high,GPU
C04,"C. Genetic, epigenetic & regulatory construction",Evo2 synthetic enhancer design,Generate synthetic enhancers that drive the differentiation program,evo2,active differentiation enhancers as prefix,Designed enhancer sequences,Any gene-reactivation goal,high,GPU
C05,"C. Genetic, epigenetic & regulatory construction",Base-editor design for risk variants,Design base-edits reverting GWAS risk alleles in tractable loci,variants+human-genetics,734 GWAS assoc; NOD2/IFIH1 coding variants,Base-editing strategy per risk locus,Any pack with coding risk variants,med,connector
C06,"C. Genetic, epigenetic & regulatory construction",eQTL colocalization,Colocalize psoriasis GWAS with skin eQTLs to assign causal genes,human-genetics,GWAS loci; eQTL Catalogue skin tissues,Causal-gene assignments at each locus,Every pack with GWAS,high,connector
C07,"C. Genetic, epigenetic & regulatory construction",TFBS-disruption variant catalog,Find risk variants that create/destroy JASPAR motifs,regulation+variants,GWAS variants; JASPAR PWMs,Regulatory-mechanism annotation per variant,Any pack with non-coding hits,med,connector
C08,"C. Genetic, epigenetic & regulatory construction",Allele-specific expression hypothesis,Link constraint (LOEUF) + expression to dosage-sensitive targets,variants+clinical-genomics,target universe; gnomAD constraint,Dosage-sensitivity ranking,Every pack,med,connector
C09,"C. Genetic, epigenetic & regulatory construction",Enhancer reporter construct design,Spec luciferase reporters for the silenced enhancers,regulation,enhancer coords,Wet-lab-ready reporter designs,Any enhancer study,low,connector
C10,"C. Genetic, epigenetic & regulatory construction",Splice-variant impact scan,Score disease DE genes for splice-altering variants,variants+evo2,DE universe; ClinVar/dbSNP,Splice-liability annotations,Every pack,med,GPU
D01,D. Single-cell & systems construction,Bulk-to-single-cell deconvolution,Deconvolve the bulk cohorts into cell-type proportions,scvi+analysis,GSE54456/121212 bulk; pack single_cell modality,Cell-type-resolved disease composition,Any pack with bulk+reference,high,GPU
D02,D. Single-cell & systems construction,Cell-type-resolved scar localization,Map which keratinocyte state carries the silenced program,scgpt+scvi,silenced-TF program; scRNA reference,Scar assigned to a specific cell state,Any tissue-heterogeneous disease,high,GPU
D03,D. Single-cell & systems construction,GRN reconstruction (foundation-model),Infer the disease gene-regulatory network around the repressor node,scgpt+regulation,DE universe; UniBind edges,Directed GRN with TEAD4/GATA module,Every pack,high,GPU
D04,D. Single-cell & systems construction,Cell-cell communication map,Infer ligand-receptor crosstalk driving the inflammatory axis,scvi+genes-ontologies,inflammatory ligands; receptor annotations,Signaling map immune↔keratinocyte,Any multi-cell disease,med,GPU
D05,D. Single-cell & systems construction,Perturbation-response prediction,Predict transcriptome after TEAD4 / DNMT knockdown in-silico,scgpt,disease expression state,Predicted post-perturbation state,Any target validation,high,GPU
D06,D. Single-cell & systems construction,Batch-integrated meta-cohort,Integrate all pack cohorts into one latent space,scvi,all committed + fetched cohorts,"Unified embedding, batch-corrected DE",Every multi-cohort pack,med,GPU
D07,D. Single-cell & systems construction,Trajectory / pseudotime of de-differentiation,Order cells along the differentiation-loss axis,scvi+analysis,differentiation program genes,Pseudotime trajectory of scar formation,Any differentiation-linked disease,med,GPU
D08,D. Single-cell & systems construction,Multi-omic factor integration,Jointly factorize methylation + expression + target evidence,analysis,scar methylation + DE + OT scores,Latent factors linking epigenome→transcriptome,Every multi-modal pack,med,CPU
D09,D. Single-cell & systems construction,Mechanistic ODE digital-twin,Build a small ODE model of the TEAD4–GATA–inflammation circuit,analysis,partial-correlation circuit topology,Simulatable disease-circuit model,Any reconstructed circuit,high,CPU
D10,D. Single-cell & systems construction,Network-propagation target expansion,Propagate seeds over IntAct to find hidden nodes,structures+analysis,prioritized targets; IntAct network,Expanded target set via connectivity,Every pack,med,connector
E01,E. Causal & population-genetics construction,Mendelian randomization,MR of druggable targets → psoriasis using eQTL instruments,human-genetics,target universe; eQTL + GWAS,Causal target-disease effect estimates,Every pack with GWAS+eQTL,high,connector
E02,E. Causal & population-genetics construction,PheWAS of the lead targets,Scan phenome-wide associations to predict on-target side effects,human-genetics,TEAD4/NOD2/IFIH1 variants,Predicted efficacy + safety phenotypes,Every prioritized target,high,connector
E03,E. Causal & population-genetics construction,Drug-target MR safety screen,MR the target across biobank phenotypes for adverse directions,human-genetics+clinical-genomics,lead targets,Genetic safety flags before wet lab,Every target,high,connector
E04,E. Causal & population-genetics construction,Cross-ancestry replication,Compare GWAS signals across FinnGen/BBJ for portability,human-genetics,psoriasis loci,Ancestry-transferable locus set,Every pack,med,connector
E05,E. Causal & population-genetics construction,Constraint-weighted prioritization,Re-rank targets by gnomAD LOEUF intolerance,variants,991-gene universe,Constraint-aware target ranking,Every pack,med,connector
E06,E. Causal & population-genetics construction,ClinVar actionability overlay,Flag targets with known pathogenic clinical variants,variants+clinical-genomics,target universe,Clinically-annotated target subset,Every pack,med,connector
F01,F. Repurposing & clinical-translational construction,Signature-reversal repurposing (rigorous),Rebuild connectivity repurposing with proper null + FDR,chembl+analysis,committed LINCS result; real DE signature,De-noised repurposing shortlist w/ stats,Every pack,high,connector
F02,F. Repurposing & clinical-translational construction,Approved-drug de-repression map,Map every approved epigenetic drug to the scar machinery,chembl+drug-regulatory,DNMT/EZH2/HDAC targets; Drugs@FDA,Repurposing table w/ approval status,Any epigenetic-scar disease,high,connector
F03,F. Repurposing & clinical-translational construction,Combination-therapy design,"Propose inhibition+de-repression combos, flag interactions",chembl+analysis,axis A + axis B leads,Rational combination hypotheses,Any dual-axis pack,high,connector
F04,F. Repurposing & clinical-translational construction,Clinical-trial white-space map,Map trial landscape per target to find untested mechanisms,clinical-trials,prioritized targets,Trial-gap analysis (what's untested),Every pack,med,connector
F05,F. Repurposing & clinical-translational construction,Biomarker panel construction,Build + cross-validate a minimal diagnostic gene panel w/ honest AUROC,analysis,DE universe; two cohorts,Validated biomarker panel + ROC,Every pack,high,CPU
F06,F. Repurposing & clinical-translational construction,Patient endotype stratification,Cluster patients into molecular subtypes,analysis+scvi,per-sample expression matrices,Endotypes + subtype-specific targets,Every pack,med,CPU
F07,F. Repurposing & clinical-translational construction,Response-prediction model,Predict treatment response from baseline signature,analysis,treatment_or_response contrasts (2 in pack),Response classifier + top features,Any pack with response data,med,CPU
F08,F. Repurposing & clinical-translational construction,Drug-label adverse-event mining,Mine openFDA labels for class effects of repurposing candidates,drug-regulatory,repurposing candidates,Safety context per candidate,Every repurposing set,low,connector
F09,F. Repurposing & clinical-translational construction,Literature-evidence auto-dossier,Assemble a cited evidence dossier per lead target,literature+pubmed,prioritized targets,Auto-generated target dossiers,Every pack,med,connector
G01,G. Cross-disease novelty engine (applies to all 21 packs),Shared-vs-specific signature decomposition,Generalize the PSO-vs-AD split to every disease pair,analysis,all pack DE signatures,Per-disease specificity fraction atlas,THE core generalizer — all packs,high,CPU
G02,G. Cross-disease novelty engine (applies to all 21 packs),Pan-disease repressor-node atlas,Run the circuit-reconstruction funnel across all packs,regulation+analysis,per-pack silenced programs,Master table of disease-specific repressor nodes,All 21 packs,high,connector
G03,G. Cross-disease novelty engine (applies to all 21 packs),Disease-disease similarity network,Cluster the 21 packs by signature/target overlap,analysis,all pack signatures + priority tables,Disease similarity graph → repurposing bridges,All packs,high,CPU
G04,G. Cross-disease novelty engine (applies to all 21 packs),Transferable priority-score rubric,Freeze the multi-evidence scoring as a reusable module,analysis+clinical-genomics,psoriasis composite-score weights,Portable scoring function + config,All packs,high,CPU
G05,G. Cross-disease novelty engine (applies to all 21 packs),Cross-disease drug-repositioning bridges,Find drugs reversing signatures shared across diseases,chembl+analysis,pan-disease signature matrix,One-drug-many-disease candidates,All packs,high,connector
G06,G. Cross-disease novelty engine (applies to all 21 packs),Shared-target druggability matrix,Matrix of targets × diseases × tractability,clinical-genomics+chembl,all pack target universes,Portfolio view of best cross-disease targets,All packs,high,connector
G07,G. Cross-disease novelty engine (applies to all 21 packs),Honest-bounds template engine,Auto-generate the honest-bounds ledger for any pack,analysis,psoriasis honest-bounds schema,Reusable rigor-report generator,All packs,high,CPU
G08,G. Cross-disease novelty engine (applies to all 21 packs),Null-control library,Package the permutation/partial-corr/replication controls,analysis,the 4 rigor controls run here,Drop-in control suite for any finding,All packs,high,CPU
G09,G. Cross-disease novelty engine (applies to all 21 packs),Automated novelty-scoring rubric,Score each finding for novelty vs literature,literature+analysis,findings + PubMed/biorxiv,Novelty index per discovery,All packs,med,connector
G10,G. Cross-disease novelty engine (applies to all 21 packs),Pan-disease epigenetic-scar screen,Test the persistent-methylation-scar hypothesis in every pack,analysis,scar detection method,Which diseases have a scar (and which don't),All packs,high,CPU
H01,H. Biophysics & dynamics construction,MD stability of lead complexes,Short MD of each docked complex to test pose stability,openmm,docked TEAD4-lead complexes,Pose-stability ranking (RMSD/contacts over time),Any docked lead,med,CPU
H02,H. Biophysics & dynamics construction,Pocket cryptic-site detection,MD/analysis to find transient druggable pockets,openmm+structures,target apo structure,Novel cryptic-pocket hypotheses,Any target,high,CPU
H03,H. Biophysics & dynamics construction,Water-network / hydration analysis,Map conserved waters in the pocket for design,openmm,8CAA pocket,Displaceable-water map for potency gains,Any structured pocket,med,CPU
H04,H. Biophysics & dynamics construction,Conformational ensemble docking,"Dock into an MD-generated ensemble, not one snapshot",openmm+vina,target flexibility,Ensemble-averaged affinities,Any flexible target,med,CPU
H05,H. Biophysics & dynamics construction,Binding-residence proxy,Estimate koff proxy from interaction-energy decomposition,openmm,lead complexes,Kinetic-selectivity hypothesis,Any lead,med,CPU
H06,H. Biophysics & dynamics construction,Allosteric-path analysis,Trace allosteric communication from pocket to active site,openmm+analysis,target structure + MD,Allosteric-site hypotheses,Any allosteric target,high,CPU
I01,I. Delivery & modality engineering,ASO / siRNA design against repressor node,Design antisense oligos to knock down TEAD4/MYC,genes-ontologies+evo2,TEAD4 transcript,ASO/siRNA candidate set + off-target scan,Any knockdown target,high,GPU
I02,I. Delivery & modality engineering,mRNA re-expression payload,Codon-optimize a differentiation-TF for re-expression therapy,genes-ontologies,silenced GATA3/FOXC1 CDS,Optimized mRNA payload spec,Any re-expression strategy,med,connector
I03,I. Delivery & modality engineering,Topical penetration modeling,Model skin permeability of leads (logP/MW/H-bond rules),chembl+analysis,lead physchem,Penetration ranking for topical use,Any dermatological pack,med,CPU
I04,I. Delivery & modality engineering,Tissue-selective promoter design,Design keratinocyte-specific promoters for gene therapy,evo2+regulation,keratinocyte enhancer set,Cell-type-restricted expression cassette,Any tissue-targeted therapy,high,GPU
I05,I. Delivery & modality engineering,PROTAC linker design for TEAD4,Design degrader linking TEAD4 ligand to an E3 recruiter,generative-chem+vina,TEAD4 lead + E3 ligase structures,PROTAC candidate set,Any degradable target,high,CPU
I06,I. Delivery & modality engineering,Molecular-glue hypothesis,Search for glue-degrader opportunities at the node,chembl+structures,TEAD4 surface,Glue-degrader starting points,Any surface-accessible target,high,connector
J01,"J. Validation, QC & provenance construction",Third-cohort external validation,"Fetch a 3rd GEO cohort, re-test every signature",omics-archives+analysis,committed accessions; new GEO pull,Independent replication verdict,Every pack,high,connector
J02,"J. Validation, QC & provenance construction",Docking decoy/DUD-E benchmark,Dock property-matched decoys to calibrate enrichment,zinc+vina,lead set + decoys,Enrichment factor / AUC for the screen,Any docking campaign,med,CPU
J03,"J. Validation, QC & provenance construction",Batch-effect / confound audit,"Quantify batch, sex, age confounds in each cohort",omics-archives+analysis,cohort metadata,Confound report per contrast,Every pack,med,connector
J04,"J. Validation, QC & provenance construction",Signature-robustness bootstrap,Bootstrap DE to report signature stability,analysis,count matrices,Per-gene stability scores,Every pack,med,CPU
J05,"J. Validation, QC & provenance construction",PROVENANCE.json honesty audit,Auto-check every claim against the REAL/POINTER/GATED contract,analysis,pack PROVENANCE.json,Honesty-compliance report,Every pack,high,CPU
J06,"J. Validation, QC & provenance construction",Reproducibility bundle,Package env + code + data pointers per finding,analysis,session artifacts,One-click reproduction bundle,Every finding,med,CPU
J07,"J. Validation, QC & provenance construction",Retraction / literature-conflict check,Cross-check findings against retracted papers (e.g. ARCHS4),literature+pubmed,committed novelty doc caveats,Conflict/retraction flags,Every pack,med,connector
K01,K. Knowledge-graph & reasoning construction,Target-mechanism knowledge graph,Build a KG linking targets→pathways→drugs→trials,genes-ontologies+clinical-genomics+chembl,all pack evidence layers,Queryable disease KG,Every pack,high,connector
K02,K. Knowledge-graph & reasoning construction,Hypothesis-generation via LLM over KG,host.llm to propose mechanisms from the assembled evidence,analysis,KG + signatures,Ranked mechanistic hypotheses,Every pack,med,CPU
K03,K. Knowledge-graph & reasoning construction,Automated related-work synthesis,Synthesize the literature landscape per finding,literature+pubmed,findings,Cited landscape summary,Every pack,med,connector
K04,K. Knowledge-graph & reasoning construction,Contradiction detector,Flag where pack results conflict with literature/each other,literature+analysis,pack results + PubMed,Contradiction ledger,Every pack,med,connector
K05,K. Knowledge-graph & reasoning construction,Reactome mechanistic overlay,Overlay DE + targets onto curated pathways,genes-ontologies,DE universe,Pathway-level mechanism figures,Every pack,med,connector
L01,L. Data-expansion construction,Proteomics cross-modal check,Pull PRIDE proteomics to confirm transcript-level findings,omics-archives,protein-level targets,RNA↔protein concordance,Every pack,med,connector
L02,L. Data-expansion construction,Multi-tissue expression context,Map targets across GTEx-like tissue expression,genes-ontologies+human-genetics,prioritized targets,Tissue-selectivity / on-target-tox context,Every pack,med,connector
L03,L. Data-expansion construction,Model-system fidelity check,Compare human signature to available disease models,omics-archives+analysis,human DE; model datasets,Best model system per finding,Every pack,med,connector
L04,L. Data-expansion construction,Time-course / dynamics mining,Find longitudinal datasets to test scar-persistence claim,omics-archives,scar persistence hypothesis,Temporal validation datasets,Any persistence claim,med,connector
